STUSAB,GEOID,GEOCODE,state,county,tract,total_population_2020,incarcerated_2020
TX,1400000US48021950506,48021950506,48,21,950506,5340,1394
TX,1400000US48021950601,48021950601,48,21,950601,4017,0
TX,1400000US48021950602,48021950602,48,21,950602,2323,0
TX,1400000US48021950700,48021950700,48,21,950700,4554,0
TX,1400000US48021950803,48021950803,48,21,950803,3452,0
TX,1400000US48021950804,48021950804,48,21,950804,5269,0
TX,1400000US48021950805,48021950805,48,21,950805,6745,0
TX,1400000US48021950806,48021950806,48,21,950806,3278,0
TX,1400000US48023950301,48023950301,48,23,950301,1403,0
TX,1400000US48023950302,48023950302,48,23,950302,2062,0
TX,1400000US48025950100,48025950100,48,25,950100,1712,0
TX,1400000US48025950201,48025950201,48,25,950201,8083,7126
TX,1400000US48025950203,48025950203,48,25,950203,2088,0
TX,1400000US48025950204,48025950204,48,25,950204,2910,0
TX,1400000US48025950300,48025950300,48,25,950300,5135,0
TX,1400000US48025950400,48025950400,48,25,950400,1907,0
TX,1400000US48025950501,48025950501,48,25,950501,3394,116
TX,1400000US48025950502,48025950502,48,25,950502,3545,0
TX,1400000US48025950600,48025950600,48,25,950600,2273,0
TX,1400000US48027020101,48027020101,48,27,020101,3037,0
TX,1400000US48027020102,48027020102,48,27,020102,4219,0
TX,1400000US48027020201,48027020201,48,27,020201,8787,0
TX,1400000US48027020203,48027020203,48,27,020203,4549,0
TX,1400000US48027020204,48027020204,48,27,020204,2741,0
TX,1400000US48027020301,48027020301,48,27,020301,9333,0
TX,1400000US48027020302,48027020302,48,27,020302,5641,0
TX,1400000US48027020401,48027020401,48,27,020401,3564,0
TX,1400000US48027020402,48027020402,48,27,020402,2926,80
TX,1400000US48027020500,48027020500,48,27,020500,3825,0
TX,1400000US48027020600,48027020600,48,27,020600,2477,0
TX,1400000US48027020701,48027020701,48,27,020701,1438,0
TX,1400000US48027020702,48027020702,48,27,020702,1522,0
TX,1400000US48027020800,48027020800,48,27,020800,3169,0
TX,1400000US48027020900,48027020900,48,27,020900,3052,0
TX,1400000US48027021000,48027021000,48,27,021000,4255,0
TX,1400000US48027021101,48027021101,48,27,021101,2585,0
TX,1400000US48027021102,48027021102,48,27,021102,3233,0
TX,1400000US48027021201,48027021201,48,27,021201,3654,0
TX,1400000US48027021202,48027021202,48,27,021202,3953,0
TX,1400000US48027021203,48027021203,48,27,021203,4271,0
TX,1400000US48027021301,48027021301,48,27,021301,4796,0
TX,1400000US48027021302,48027021302,48,27,021302,2956,0
TX,1400000US48027021304,48027021304,48,27,021304,4955,0
TX,1400000US48027021305,48027021305,48,27,021305,7313,0
TX,1400000US48027021400,48027021400,48,27,021400,4352,0
TX,1400000US48027021501,48027021501,48,27,021501,3940,0
TX,1400000US48027021502,48027021502,48,27,021502,4594,12
TX,1400000US48027021601,48027021601,48,27,021601,6785,776
TX,1400000US48027021602,48027021602,48,27,021602,2653,0
TX,1400000US48027021701,48027021701,48,27,021701,5673,0
TX,1400000US48027021702,48027021702,48,27,021702,4454,0
TX,1400000US48027021801,48027021801,48,27,021801,5635,0
TX,1400000US48027021802,48027021802,48,27,021802,5065,0
TX,1400000US48027021901,48027021901,48,27,021901,3442,0
TX,1400000US48027021905,48027021905,48,27,021905,4749,0
TX,1400000US48027021906,48027021906,48,27,021906,5732,0
TX,1400000US48027021907,48027021907,48,27,021907,4924,0
TX,1400000US48027021908,48027021908,48,27,021908,7739,0
TX,1400000US48027022001,48027022001,48,27,022001,4168,0
TX,1400000US48027022002,48027022002,48,27,022002,4769,0
TX,1400000US48027022101,48027022101,48,27,022101,4102,0
TX,1400000US48027022103,48027022103,48,27,022103,5053,0
TX,1400000US48027022104,48027022104,48,27,022104,4212,0
TX,1400000US48027022105,48027022105,48,27,022105,2216,0
TX,1400000US48027022200,48027022200,48,27,022200,3827,0
TX,1400000US48027022300,48027022300,48,27,022300,3811,0
TX,1400000US48027022401,48027022401,48,27,022401,5741,0
TX,1400000US48027022402,48027022402,48,27,022402,7003,0
TX,1400000US48027022403,48027022403,48,27,022403,4597,0
TX,1400000US48027022405,48027022405,48,27,022405,2183,0
TX,1400000US48027022406,48027022406,48,27,022406,3979,0
TX,1400000US48027022407,48027022407,48,27,022407,3931,0
TX,1400000US48027022501,48027022501,48,27,022501,3573,0
TX,1400000US48027022503,48027022503,48,27,022503,5434,0
TX,1400000US48027022504,48027022504,48,27,022504,8790,0
TX,1400000US48027022600,48027022600,48,27,022600,4242,0
TX,1400000US48027022801,48027022801,48,27,022801,2653,0
TX,1400000US48027022900,48027022900,48,27,022900,3649,0
TX,1400000US48027023001,48027023001,48,27,023001,6167,0
TX,1400000US48027023002,48027023002,48,27,023002,4170,0
TX,1400000US48027023103,48027023103,48,27,023103,4450,0
TX,1400000US48027023104,48027023104,48,27,023104,3253,0
TX,1400000US48027023109,48027023109,48,27,023109,3903,0
TX,1400000US48027023110,48027023110,48,27,023110,3832,0
TX,1400000US48027023111,48027023111,48,27,023111,5279,0
TX,1400000US48027023112,48027023112,48,27,023112,5062,0
TX,1400000US48027023113,48027023113,48,27,023113,5033,0
TX,1400000US48027023114,48027023114,48,27,023114,4350,0
TX,1400000US48027023115,48027023115,48,27,023115,4688,0
TX,1400000US48027023116,48027023116,48,27,023116,6188,0
TX,1400000US48027023117,48027023117,48,27,023117,5553,0
TX,1400000US48027023118,48027023118,48,27,023118,7404,0
TX,1400000US48027023201,48027023201,48,27,023201,1781,0
