County,trump,biden,other, total_votes,trump_biden_ratio,winner
FORT BEND,157718,195552,129,353399,0.806527164,biden
HAYS,47680,59524,457,107661,0.801021437,biden
WILLACY,2441,3108,0,5549,0.785392535,biden
CAMERON,49032,64063,1079,114174,0.765371587,biden
HARRIS,700630,918193,68,1618891,0.763053084,biden
HIDALGO,90527,128199,898,219624,0.706144354,biden
JIM HOGG,833,1197,6,2036,0.695906433,biden
BEXAR,308618,448452,258,757328,0.688185135,biden
BROOKS,998,1470,16,2484,0.678911565,biden
WEBB,25898,41820,679,68397,0.619273075,biden
DIMMIT,1384,2264,18,3666,0.61130742,biden
ZAVALA,1490,2864,25,4379,0.520251397,biden
DALLAS,307076,598576,562,906214,0.513010879,biden
PRESIDIO,721,1463,33,2217,0.492822967,biden
EL PASO,84331,178126,84,262541,0.473434535,biden
TRAVIS,161337,435860,389,597586,0.370157849,biden
