ELECTION DATE-NAME,OFFICE NAME,CANDIDATE NAME,COUNTY NAME,TOTAL VOTES PER OFFICE PER COUNTY
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,ANGELINA,75
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,ANGELINA,2
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",ANGELINA,274
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,ANGELINA,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,ANGELINA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,ANGELINA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,ANGELINA,"25,076"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,ANGELINA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,ARANSAS,"2,916"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,ARANSAS,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,ARANSAS,31
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",ARANSAS,103
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,ARANSAS,"9,239"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,ARANSAS,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,ARCHER,446
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,ARCHER,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,ARCHER,4
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",ARCHER,45
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,ARCHER,"4,300"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,ARCHER,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,ARMSTRONG,75
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",ARMSTRONG,2
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,ARMSTRONG,"1,035"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,ARMSTRONG,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,ATASCOSA,"5,876"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,ATASCOSA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,ATASCOSA,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,ATASCOSA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,ATASCOSA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,ATASCOSA,58
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,ATASCOSA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",ATASCOSA,143
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,ATASCOSA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,ATASCOSA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,ATASCOSA,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,ATASCOSA,"12,039"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,ATASCOSA,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,AUSTIN,"2,951"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,AUSTIN,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,AUSTIN,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,AUSTIN,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,AUSTIN,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,AUSTIN,33
