FREESTONE,19435,18229,6991,1635,85,8711,4.275840979,trump,-1206
FRIO,18385,17106,2823,2422,34,5279,1.165565648,trump,-1279
GAINES,21598,21699,5355,576,65,5996,9.296875,trump,101
GALVESTON,350682,351643,93911,58842,395,153148,1.59598586,trump,961
GARZA,5816,5854,1413,231,9,1653,6.116883117,trump,38
GILLESPIE,26725,26861,12514,3176,160,15850,3.940176322,trump,136
GLASSCOCK,1116,1118,611,39,3,653,15.66666667,trump,2
GOLIAD,7012,7050,3085,877,33,3995,3.517673888,trump,38
GONZALES,19653,19925,5627,1948,73,7648,2.888603696,trump,272
GRAY,21227,20395,6840,829,113,7782,8.250904704,trump,-832
GRAYSON,135543,136796,44163,14506,805,59474,3.04446436,trump,1253
GREGG,124239,125572,32493,14796,693,47982,2.196066504,trump,1333
GRIMES,29268,26909,9432,2833,149,12414,3.329332863,trump,-2359
GUADALUPE,172706,173426,47553,28805,239,76597,1.650859226,trump,720
HALE,32522,31269,7177,2279,130,9586,3.14918824,trump,-1253
HALL,2825,2884,995,168,6,1169,5.922619048,trump,59
HAMILTON,8222,8308,3616,641,94,4351,5.641185647,trump,86
HANSFORD,5285,5305,1849,166,32,2047,11.13855422,trump,20
HARDEMAN,3549,3600,1330,241,9,1580,5.518672199,trump,51
HARDIN,56231,56501,23858,3474,303,27635,6.867587795,trump,270
HARRIS,4731145,4749324,700630,918193,68,1618891,0.763053084,biden,18179
HARRISON,68839,69272,21466,7908,343,29717,2.714466363,trump,433
HARTLEY,5382,4625,1868,195,15,2078,9.579487179,trump,-757
HASKELL,5416,5486,1840,353,21,2214,5.212464589,trump,70
HAYS,241067,241238,47680,59524,457,107661,0.801021437,biden,171
HEMPHILL,3382,3394,1486,206,28,1720,7.213592233,trump,12
HENDERSON,82150,80701,28911,7060,346,36317,4.095042493,trump,-1449
HIDALGO,870781,871407,90527,128199,898,219624,0.706144354,biden,626
HILL,35874,36311,11926,2860,145,14931,4.16993007,trump,437
HOCKLEY,21537,21666,6536,1482,82,8100,4.41025641,trump,129
HOOD,61598,62178,26496,5648,397,32541,4.69121813,trump,580
HOPKINS,36787,37241,12719,3046,176,15941,4.175640184,trump,454
HOUSTON,22066,19877,7060,2314,64,9438,3.05099395,trump,-2189
HOWARD,34860,35109,8054,2069,118,10241,3.892701788,trump,249
HUDSPETH,3202,3218,779,371,15,1165,2.099730458,trump,16
HUNT,99956,100698,29163,8906,528,38597,3.274534022,trump,742
HUTCHINSON,20617,20732,7681,965,127,8773,7.959585492,trump,115
IRION,1513,1517,759,120,10,889,6.325,trump,4
JACK,8472,7517,3418,331,33,3782,10.32628399,trump,-955
JACKSON,14988,15207,5231,1033,89,6353,5.063891578,trump,219
JASPER,32980,32708,12542,2954,115,15611,4.24576845,trump,-272
JEFF DAVIS,1996,2001,784,501,20,1305,1.564870259,trump,5
JEFFERSON,256526,252798,47570,46073,1116,94759,1.032491915,trump,-3728
JIM HOGG,4838,4846,833,1197,6,2036,0.695906433,biden,8
JIM WELLS,38891,39019,7453,6119,97,13669,1.218009479,trump,128
JOHNSON,179927,180229,54628,16464,928,72020,3.318027211,trump,302
JONES,19663,14958,5660,999,82,6741,5.665665666,trump,-4705
KARNES,14710,12813,3968,1234,50,5252,3.215559157,trump,-1897
KAUFMAN,145310,145912,37624,18405,689,56718,2.044227112,trump,602
KENDALL,44279,44443,20083,6020,349,26452,3.336046512,trump,164
KENEDY,350,358,127,65,2,194,1.953846154,trump,8
KENT,753,760,411,47,4,462,8.744680851,trump,7
KERR,52598,53226,20879,6524,342,27745,3.200337216,trump,628
KIMBLE,4286,4338,1987,284,21,2292,6.996478873,trump,52
KING,265,265,151,8,0,159,18.875,trump,0
KINNEY,3129,3140,1144,446,13,1603,2.565022422,trump,11
KLEBERG,31040,31298,5504,5314,126,10944,1.03575461,trump,258
KNOX,3353,3373,1180,265,11,1456,4.452830189,trump,20
LA SALLE,6664,6161,1335,1052,19,2406,1.269011407,trump,-503
LAMAR,50088,50813,16760,4458,224,21442,3.759533423,trump,725
LAMB,13045,13158,3521,840,49,4410,4.191666667,trump,113
LAMPASAS,21627,21762,8086,2144,169,10399,3.771455224,trump,135
LAVACA,20337,20416,8804,1333,60,10197,6.604651163,trump,79
LEE,17478,17577,6255,1750,82,8087,3.574285714,trump,99
LEON,15719,15848,7523,1072,79,8674,7.017723881,trump,129
LIBERTY,91628,88027,23302,5785,247,29334,4.028003457,trump,-3601
LIMESTONE,22146,22413,6789,2213,93,9095,3.067781292,trump,267
LIPSCOMB,3059,3068,1205,131,17,1353,9.198473282,trump,9
LIVE OAK,11335,11413,4199,819,36,5054,5.126984127,trump,78
LLANO,21243,21360,10079,2465,116,12660,4.088843813,trump,117
LOVING,64,64,60,4,2,66,15,trump,0
LUBBOCK,310639,311586,78861,40017,323,119201,1.970687458,trump,947
LYNN,5596,5628,1853,428,12,2293,4.329439252,trump,32
MADISON,13455,11288,4169,1088,41,5298,3.831801471,trump,-2167
MARION,9725,9856,3470,1339,55,4864,2.591486184,trump,131
MARTIN,5237,5251,1857,288,15,2160,6.447916667,trump,14
MASON,3953,3963,1991,457,26,2474,4.356673961,trump,10
MATAGORDA,36255,36516,9845,3733,149,13727,2.637289044,trump,261
MAVERICK,57887,57968,6881,8332,133,15346,0.825852136,biden,81
MCCULLOCH,7630,7700,2904,490,42,3436,5.926530612,trump,70
MCLENNAN,260579,263472,59543,36688,345,96576,1.622955735,trump,2893
MCMULLEN,600,614,460,53,3,516,8.679245283,trump,14
MEDINA,50748,49188,15642,6773,242,22657,2.309464048,trump,-1560
MENARD,1962,1983,823,197,8,1028,4.177664975,trump,21
MIDLAND,169983,171149,45624,12329,906,58859,3.700543434,trump,1166
MILAM,24754,24949,7984,2496,98,10578,3.198717949,trump,195
MILLS,4456,4522,2217,271,17,2505,8.180811808,trump,66
MITCHELL,8990,7854,2170,397,12,2579,5.465994962,trump,-1136
MONTAGUE,19965,20071,8615,1097,107,9819,7.853236098,trump,106
MONTGOMERY,620443,623034,193382,74377,621,268380,2.600024201,trump,2591
MOORE,21358,21480,4359,1062,87,5508,4.104519774,trump,122
MORRIS,11973,12065,3872,1669,46,5587,2.319952067,trump,92
MOTLEY,1063,1069,604,46,2,652,13.13043478,trump,6
NACOGDOCHES,64653,65179,17378,9000,407,26785,1.930888889,trump,526
NAVARRO,52624,53126,13800,5101,222,19123,2.705351892,trump,502
NEWTON,12217,12302,4882,1173,39,6094,4.161977835,trump,85
NOLAN,14738,14905,4131,1162,64,5357,3.555077453,trump,167
NUECES,353178,355392,64617,60925,377,125919,1.060599097,trump,2214
OCHILTREE,10015,10046,2812,302,42,3156,9.311258278,trump,31
OLDHAM,1758,1774,917,81,11,1009,11.32098765,trump,16
ORANGE,84808,85563,29186,6357,451,35994,4.591159352,trump,755
PALO PINTO,28409,28921,10179,2178,132,12489,4.673553719,trump,512
